image_path,diag,split,label
data/Daffodil/images/hue-50vitiligo-17__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,train,0
data/Daffodil/images/hue-150vitiligo3__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,test,0
data/Daffodil/images/saturation-200vitiligo-21__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,train,0
data/Daffodil/images/saturation-100vitiligo-05__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDIzXQ.jpg,vitiligo,train,0
data/Daffodil/images/saturation-50vitiligo-51__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,train,0
data/Daffodil/images/saturation-50vitiligo-44__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDExMF0.jpg,vitiligo,train,0
data/Daffodil/images/padd-1000_00vitiligo-40__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,train,0
data/Daffodil/images/padd-00_0100vitiligo-37__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,train,0
data/Daffodil/images/hue-100vitiligo-03__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDIwXQ.jpg,vitiligo,test,0
data/Daffodil/images/saturation-150vitiligo-50__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,train,0
data/Daffodil/images/saturation-100vitiligo-44__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDExMF0.jpg,vitiligo,train,0
data/Daffodil/images/superpixels-100vitiligo-19__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,train,0
data/Daffodil/images/superpixels-75vitiligo-45__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,train,0
data/Daffodil/images/superpixels-25vitiligo-12__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,val,0
data/Daffodil/images/superpixels-100vitiligo-54__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,test,0
data/Daffodil/images/Crop-0350_100400vitiligo-11__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,train,0
data/Daffodil/images/padd-0100_00vitiligo-23__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,test,0
data/Daffodil/images/hue-200vitiligo-29__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,test,0
data/Daffodil/images/flip-1vitiligo-52__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,train,0
data/Daffodil/images/vitiligo-43__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDE5XQ.jpg,vitiligo,test,0
data/Daffodil/images/flip-0vitiligo-29__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,test,0
data/Daffodil/images/hue-200vitiligo-62__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDM2XQ.jpg,vitiligo,test,0
data/Daffodil/images/saturation-200poliosis__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDM2XQ.jpg,vitiligo,train,0
data/Daffodil/images/saturation-200vitiligo3__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,train,0
data/Daffodil/images/saturation-100vitiligo-06__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,train,0
data/Daffodil/images/padd-1000_00vitiligo-45__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,train,0
data/Daffodil/images/Crop-100350_100300vitiligo-12__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,val,0
data/Daffodil/images/hue-200vitiligo-03__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDIwXQ.jpg,vitiligo,train,0
data/Daffodil/images/flip-1vitiligo-32__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,train,0
data/Daffodil/images/flip--1vitiligo-54__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,train,0
data/Daffodil/images/saturation-150vitiligo-09__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,train,0
data/Daffodil/images/padd-0100_00vitiligo5__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDIyXQ.jpg,vitiligo,train,0
data/Daffodil/images/Crop-100450_100400vitiligo-34__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,train,0
data/Daffodil/images/vitiligo-58__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,train,0
data/Daffodil/images/hue-150vitiligo-60__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDM2XQ.jpg,vitiligo,test,0
data/Daffodil/images/padd-0100_00vitiligo-14__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,test,0
data/Daffodil/images/flip-1vitiligo-62__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsInkiLDM2XQ.jpg,vitiligo,train,0
data/Daffodil/images/Crop-100450_100400vitiligo-24__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,test,0
data/Daffodil/images/Crop-100350_100300vitiligo-21__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,train,0
data/Daffodil/images/Crop-100350_100300vitiligo-15__ProtectWyJQcm90ZWN0Il0_FocusFillWzI5NCwyMjIsIngiLDFd.jpg,vitiligo,train,0
