image_path,diag,split,label
data/SNU/images/epidermalcyst_11.jpg,epidermal cyst,train,0
data/SNU/images/paronychia_3.jpg,paronychia,test,1
data/SNU/images/otanevus_8.jpg,ota nevus,train,2
data/SNU/images/condyloma_7.jpg,condyloma,test,3
data/SNU/images/keloid_6.jpg,keloid,train,4
data/SNU/images/alopeciaareata_8.jpg,alopecia areata,train,5
data/SNU/images/cellulitis_2.jpg,cellulitis,train,6
data/SNU/images/pyogenicgranuloma_16.jpg,pyogenic granuloma,test,7
data/SNU/images/fifthdisease_21.jpg,fifth disease,test,8
data/SNU/images/dermatofibroma_41.jpg,dermatofibroma,train,9
data/SNU/images/perioraldermatitis_12.jpg,perioral dermatitis,val,10
data/SNU/images/squamouscellcarcinoma_13.jpg,squamous cell carcinoma,train,11
data/SNU/images/wart_5.jpg,wart,train,12
data/SNU/images/riehlmelanosis_7.jpg,riehl melanosis,test,13
data/SNU/images/urticariapigmentosa_2.jpg,urticaria pigmentosa,train,14
data/SNU/images/furuncle_6.jpg,furuncle,train,15
data/SNU/images/bullousdisease_4.jpg,bullous disease,train,16
data/SNU/images/herpessimplex_4.jpg,herpes simplex,train,17
data/SNU/images/tineafaciale_1.jpg,tinea faciale,val,18
data/SNU/images/lupuserythematosus_13.jpg,lupus erythematosus,train,19
data/SNU/images/striaedistensae_16.jpg,striae distensae,train,20
data/SNU/images/hemangioma_32.jpg,hemangioma,val,21
data/SNU/images/herpeszoster_17.jpg,herpes zoster,test,22
data/SNU/images/hemangioma_26.jpg,hemangioma,train,21
data/SNU/images/malignantmelanoma_12.jpg,malignant melanoma,val,23
data/SNU/images/pityriasislichenoidesetvarioliformisacuta_13.jpg,pityriasis lichenoides et varioliformis acuta,train,24
data/SNU/images/pompholyx_10.jpg,pompholyx,train,25
data/SNU/images/nevusspilus_1.jpg,nevus spilus,train,26
data/SNU/images/juvenilexanthogranuloma_10.jpg,juvenile xanthogranuloma,train,27
data/SNU/images/actinickeratosis_3.jpg,actinic keratosis,test,28
data/SNU/images/malignantmelanoma_7.jpg,malignant melanoma,test,23
data/SNU/images/nummulareczema_7.jpg,nummular eczema,train,29
data/SNU/images/folliculitis_9.jpg,folliculitis,train,30
data/SNU/images/xeroticeczema_16.jpg,xerotic eczema,test,31
data/SNU/images/subungalhematoma_0.jpg,subungual hematoma,test,32
data/SNU/images/androgenicalopecia_6.jpg,androgenic alopecia,val,33
data/SNU/images/prurigonodularis_0.jpg,prurigo nodularis,test,34
